iter	Passed	Remaining
830	5946	1209
831	5955	1202
832	5962	1195
833	5970	1188
834	5979	1181
835	5988	1174
836	5996	1167
837	6003	1160
838	6010	1153
839	6018	1146
840	6025	1139
841	6033	1132
842	6041	1125
843	6048	1117
844	6055	1110
845	6063	1103
846	6070	1096
847	6077	1089
848	6084	1082
849	6091	1075
850	6098	1067
851	6106	1060
852	6116	1054
853	6125	1047
854	6134	1040
855	6145	1033
856	6153	1026
857	6161	1019
858	6168	1012
859	6175	1005
860	6182	998
861	6189	990
862	6196	983
863	6203	976
864	6210	969
865	6216	961
866	6223	954
867	6230	947
868	6236	940
869	6243	932
870	6250	925
871	6257	918
872	6263	911
873	6270	904
874	6277	896
875	6284	889
876	6291	882
877	6298	875
878	6304	867
879	6310	860
880	6317	853
881	6324	846
882	6331	838
883	6338	831
884	6344	824
885	6351	817
886	6357	809
887	6364	802
888	6370	795
889	6377	788
890	6383	780
891	6390	773
892	6397	766
893	6404	759
894	6411	752
895	6418	744
896	6424	737
897	6430	730
898	6437	723
899	6443	715
900	6450	708
901	6456	701
902	6462	694
903	6469	687
904	6476	679
905	6483	672
906	6489	665
907	6496	658
908	6502	650
909	6509	643
910	6516	636
911	6522	629
912	6529	622
913	6536	615
914	6542	607
915	6548	600
916	6554	593
917	6561	586
918	6568	578
919	6575	571
920	6581	564
921	6589	557
922	6596	550
923	6603	543
924	6609	535
925	6616	528
926	6623	521
927	6630	514
928	6636	507
929	6642	499
930	6649	492
931	6656	485
932	6663	478
933	6670	471
934	6676	464
935	6683	457
936	6690	449
937	6697	442
938	6703	435
939	6710	428
940	6716	421
941	6723	413
942	6730	406
943	6737	399
944	6744	392
945	6751	385
946	6759	378
947	6765	371
948	6772	363
949	6779	356
950	6785	349
951	6792	342
952	6798	335
953	6805	328
954	6812	321
955	6819	313
956	6826	306
957	6833	299
958	6840	292
959	6846	285
960	6853	278
961	6860	271
962	6867	263
963	6874	256
964	6881	249
965	6888	242
966	6895	235
967	6902	228
968	6910	221
969	6918	213
970	6925	206
971	6932	199
972	6939	192
973	6946	185
974	6955	178
975	6962	171
976	6970	164
977	6978	156
978	6987	149
979	6995	142
980	7005	135
981	7015	128
982	7024	121
983	7032	114
984	7040	107
985	7049	100
986	7057	92
987	7065	85
988	7073	78
989	7082	71
990	7090	64
991	7098	57
992	7106	50
993	7114	42
994	7123	35
995	7132	28
996	7141	21
997	7151	14
998	7161	7
999	7169	0
